"","group","indval","pvalue","freq"
"Icme",1,0.857142857142857,0.001,7
"Anan",1,0.734693877551021,0.001,11
"Abbr",1,0.703448275862069,0.002,9
"Blbj",1,0.69364161849711,0.003,10
"Acce",1,0.685714285714286,0.001,12
"Cyca",1,0.681818181818182,0.003,12
"Legi",1,0.662337662337662,0.002,13
"Rham",1,0.655172413793103,0.001,11
"Scer",1,0.591928251121076,0.004,11
"Eslu",1,0.545454545454546,0.003,18
"Titi",1,0.535117056856187,0.008,17
"Spbi",1,0.523809523809524,0.01,12
"Alal",1,0.506756756756757,0.005,14
"Baba",1,0.495145631067961,0.004,14
"Gogo",1,0.475471698113208,0.011,20
"Ruru",1,0.469820554649266,0.015,18
"Pefl",1,0.458149779735683,0.019,15
"Chna",1,0.409090909090909,0.048,12
"Satr",2,0.456081081081081,0.018,17
"Cogo",4,0.8,0.001,8
"Teso",4,0.63,0.002,8
"Thth",4,0.6125,0.004,8
"Phph",4,0.507592190889371,0.001,20
"Neba",4,0.426923076923077,0.01,24
